"EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE_NUMBER","HIRE_DATE","JOB_ID","SALARY","COMMISSION_PCT","MANAGER_ID","DEPARTMENT_ID"
100,Steven,King,SKING,"515.123.4567",2003-06-17 00:00:00.000,AD_PRES,24000,,,90
101,Neena,Kochhar,NKOCHHAR,"515.123.4568",2005-09-21 00:00:00.000,AD_VP,17000,,100,90
102,Lex,De Haan,LDEHAAN,"515.123.4569",2001-01-13 00:00:00.000,AD_VP,17000,,100,90
103,Alexander,Hunold,AHUNOLD,"590.423.4567",2006-01-03 00:00:00.000,IT_PROG,9000,,102,60
104,Bruce,Ernst,BERNST,"590.423.4568",2007-05-21 00:00:00.000,IT_PROG,6000,,103,60
105,David,Austin,DAUSTIN,"590.423.4569",2005-06-25 00:00:00.000,IT_PROG,4800,,103,60
106,Valli,Pataballa,VPATABAL,"590.423.4560",2006-02-05 00:00:00.000,IT_PROG,4800,,103,60
107,Diana,Lorentz,DLORENTZ,"590.423.5567",2007-02-07 00:00:00.000,IT_PROG,4200,,103,60
108,Nancy,Greenberg,NGREENBE,"515.124.4569",2002-08-17 00:00:00.000,FI_MGR,12008,,101,100
109,Daniel,Faviet,DFAVIET,"515.124.4169",2002-08-16 00:00:00.000,FI_ACCOUNT,9000,,108,100
110,John,Chen,JCHEN,"515.124.4269",2005-09-28 00:00:00.000,FI_ACCOUNT,8200,,108,100
111,Ismael,Sciarra,ISCIARRA,"515.124.4369",2005-09-30 00:00:00.000,FI_ACCOUNT,7700,,108,100
112,Jose Manuel,Urman,JMURMAN,"515.124.4469",2006-03-07 00:00:00.000,FI_ACCOUNT,7800,,108,100
113,Luis,Popp,LPOPP,"515.124.4567",2007-12-07 00:00:00.000,FI_ACCOUNT,6900,,108,100
114,Den,Raphaely,DRAPHEAL,"515.127.4561",2002-12-07 00:00:00.000,PU_MAN,11000,,100,30
115,Alexander,Khoo,AKHOO,"515.127.4562",2003-05-18 00:00:00.000,PU_CLERK,3100,,114,30
116,Shelli,Baida,SBAIDA,"515.127.4563",2005-12-24 00:00:00.000,PU_CLERK,2900,,114,30
117,Sigal,Tobias,STOBIAS,"515.127.4564",2005-07-24 00:00:00.000,PU_CLERK,2800,,114,30
118,Guy,Himuro,GHIMURO,"515.127.4565",2006-11-15 00:00:00.000,PU_CLERK,2600,,114,30
119,Karen,Colmenares,KCOLMENA,"515.127.4566",2007-08-10 00:00:00.000,PU_CLERK,2500,,114,30
120,Matthew,Weiss,MWEISS,"650.123.1234",2004-07-18 00:00:00.000,ST_MAN,8000,,100,50
121,Adam,Fripp,AFRIPP,"650.123.2234",2005-04-10 00:00:00.000,ST_MAN,8200,,100,50
122,Payam,Kaufling,PKAUFLIN,"650.123.3234",2003-05-01 00:00:00.000,ST_MAN,7900,,100,50
123,Shanta,Vollman,SVOLLMAN,"650.123.4234",2005-10-10 00:00:00.000,ST_MAN,6500,,100,50
124,Kevin,Mourgos,KMOURGOS,"650.123.5234",2007-11-16 00:00:00.000,ST_MAN,5800,,100,50
125,Julia,Nayer,JNAYER,"650.124.1214",2005-07-16 00:00:00.000,ST_CLERK,3200,,120,50
126,Irene,Mikkilineni,IMIKKILI,"650.124.1224",2006-09-28 00:00:00.000,ST_CLERK,2700,,120,50
127,James,Landry,JLANDRY,"650.124.1334",2007-01-14 00:00:00.000,ST_CLERK,2400,,120,50
128,Steven,Markle,SMARKLE,"650.124.1434",2008-03-08 00:00:00.000,ST_CLERK,2200,,120,50
129,Laura,Bissot,LBISSOT,"650.124.5234",2005-08-20 00:00:00.000,ST_CLERK,3300,,121,50
130,Mozhe,Atkinson,MATKINSO,"650.124.6234",2005-10-30 00:00:00.000,ST_CLERK,2800,,121,50
131,James,Marlow,JAMRLOW,"650.124.7234",2005-02-16 00:00:00.000,ST_CLERK,2500,,121,50
132,TJ,Olson,TJOLSON,"650.124.8234",2007-04-10 00:00:00.000,ST_CLERK,2100,,121,50
133,Jason,Mallin,JMALLIN,"650.127.1934",2004-06-14 00:00:00.000,ST_CLERK,3300,,122,50
134,Michael,Rogers,MROGERS,"650.127.1834",2006-08-26 00:00:00.000,ST_CLERK,2900,,122,50
135,Ki,Gee,KGEE,"650.127.1734",2007-12-12 00:00:00.000,ST_CLERK,2400,,122,50
136,Hazel,Philtanker,HPHILTAN,"650.127.1634",2008-02-06 00:00:00.000,ST_CLERK,2200,,122,50
137,Renske,Ladwig,RLADWIG,"650.121.1234",2003-07-14 00:00:00.000,ST_CLERK,3600,,123,50
138,Stephen,Stiles,SSTILES,"650.121.2034",2005-10-26 00:00:00.000,ST_CLERK,3200,,123,50
139,John,Seo,JSEO,"650.121.2019",2006-02-12 00:00:00.000,ST_CLERK,2700,,123,50
140,Joshua,Patel,JPATEL,"650.121.1834",2006-04-06 00:00:00.000,ST_CLERK,2500,,123,50
141,Trenna,Rajs,TRAJS,"650.121.8009",2003-10-17 00:00:00.000,ST_CLERK,3500,,124,50
142,Curtis,Davies,CDAVIES,"650.121.2994",2005-01-29 00:00:00.000,ST_CLERK,3100,,124,50
143,Randall,Matos,RMATOS,"650.121.2874",2006-03-15 00:00:00.000,ST_CLERK,2600,,124,50
144,Peter,Vargas,PVARGAS,"650.121.2004",2006-07-09 00:00:00.000,ST_CLERK,2500,,124,50
145,John,Russell,JRUSSEL,"011.44.1344.429268",2004-10-01 00:00:00.000,SA_MAN,14000,0.4,100,80
146,Karen,Partners,KPARTNER,"011.44.1344.467268",2005-01-05 00:00:00.000,SA_MAN,13500,0.3,100,80
147,Alberto,Errazuriz,AERRAZUR,"011.44.1344.429278",2005-03-10 00:00:00.000,SA_MAN,12000,0.3,100,80
148,Gerald,Cambrault,GCAMBRAU,"011.44.1344.619268",2007-10-15 00:00:00.000,SA_MAN,11000,0.3,100,80
149,Eleni,Zlotkey,EZLOTKEY,"011.44.1344.429018",2008-01-29 00:00:00.000,SA_MAN,10500,0.2,100,80
150,Peter,Tucker,PTUCKER,"011.44.1344.129268",2005-01-30 00:00:00.000,SA_REP,10000,0.3,145,80
151,David,Bernstein,DBERNSTE,"011.44.1344.345268",2005-03-24 00:00:00.000,SA_REP,9500,0.25,145,80
152,Peter,Hall,PHALL,"011.44.1344.478968",2005-08-20 00:00:00.000,SA_REP,9000,0.25,145,80
153,Christopher,Olsen,COLSEN,"011.44.1344.498718",2006-03-30 00:00:00.000,SA_REP,8000,0.2,145,80
154,Nanette,Cambrault,NCAMBRAU,"011.44.1344.987668",2006-12-09 00:00:00.000,SA_REP,7500,0.2,145,80
155,Oliver,Tuvault,OTUVAULT,"011.44.1344.486508",2007-11-23 00:00:00.000,SA_REP,7000,0.15,145,80
156,Janette,King,JKING,"011.44.1345.429268",2004-01-30 00:00:00.000,SA_REP,10000,0.35,146,80
157,Patrick,Sully,PSULLY,"011.44.1345.929268",2004-03-04 00:00:00.000,SA_REP,9500,0.35,146,80
158,Allan,McEwen,AMCEWEN,"011.44.1345.829268",2004-08-01 00:00:00.000,SA_REP,9000,0.35,146,80
159,Lindsey,Smith,LSMITH,"011.44.1345.729268",2005-03-10 00:00:00.000,SA_REP,8000,0.3,146,80
160,Louise,Doran,LDORAN,"011.44.1345.629268",2005-12-15 00:00:00.000,SA_REP,7500,0.3,146,80
161,Sarath,Sewall,SSEWALL,"011.44.1345.529268",2006-11-03 00:00:00.000,SA_REP,7000,0.25,146,80
162,Clara,Vishney,CVISHNEY,"011.44.1346.129268",2005-11-11 00:00:00.000,SA_REP,10500,0.25,147,80
163,Danielle,Greene,DGREENE,"011.44.1346.229268",2007-03-19 00:00:00.000,SA_REP,9500,0.15,147,80
164,Mattea,Marvins,MMARVINS,"011.44.1346.329268",2008-01-24 00:00:00.000,SA_REP,7200,0.1,147,80
165,David,Lee,DLEE,"011.44.1346.529268",2008-02-23 00:00:00.000,SA_REP,6800,0.1,147,80
166,Sundar,Ande,SANDE,"011.44.1346.629268",2008-03-24 00:00:00.000,SA_REP,6400,0.1,147,80
167,Amit,Banda,ABANDA,"011.44.1346.729268",2008-04-21 00:00:00.000,SA_REP,6200,0.1,147,80
168,Lisa,Ozer,LOZER,"011.44.1343.929268",2005-03-11 00:00:00.000,SA_REP,11500,0.25,148,80
169,Harrison,Bloom,HBLOOM,"011.44.1343.829268",2006-03-23 00:00:00.000,SA_REP,10000,0.2,148,80
170,Tayler,Fox,TFOX,"011.44.1343.729268",2006-01-24 00:00:00.000,SA_REP,9600,0.2,148,80
171,William,Smith,WSMITH,"011.44.1343.629268",2007-02-23 00:00:00.000,SA_REP,7400,0.15,148,80
172,Elizabeth,Bates,EBATES,"011.44.1343.529268",2007-03-24 00:00:00.000,SA_REP,7300,0.15,148,80
173,Sundita,Kumar,SKUMAR,"011.44.1343.329268",2008-04-21 00:00:00.000,SA_REP,6100,0.1,148,80
174,Ellen,Abel,EABEL,"011.44.1644.429267",2004-05-11 00:00:00.000,SA_REP,11000,0.3,149,80
175,Alyssa,Hutton,AHUTTON,"011.44.1644.429266",2005-03-19 00:00:00.000,SA_REP,8800,0.25,149,80
176,Jonathon,Taylor,JTAYLOR,"011.44.1644.429265",2006-03-24 00:00:00.000,SA_REP,8600,0.2,149,80
177,Jack,Livingston,JLIVINGS,"011.44.1644.429264",2006-04-23 00:00:00.000,SA_REP,8400,0.2,149,80
178,Kimberely,Grant,KGRANT,"011.44.1644.429263",2007-05-24 00:00:00.000,SA_REP,7000,0.15,149,
179,Charles,Johnson,CJOHNSON,"011.44.1644.429262",2008-01-04 00:00:00.000,SA_REP,6200,0.1,149,80
180,Winston,Taylor,WTAYLOR,"650.507.9876",2006-01-24 00:00:00.000,SH_CLERK,3200,,120,50
181,Jean,Fleaur,JFLEAUR,"650.507.9877",2006-02-23 00:00:00.000,SH_CLERK,3100,,120,50
182,Martha,Sullivan,MSULLIVA,"650.507.9878",2007-06-21 00:00:00.000,SH_CLERK,2500,,120,50
183,Girard,Geoni,GGEONI,"650.507.9879",2008-02-03 00:00:00.000,SH_CLERK,2800,,120,50
184,Nandita,Sarchand,NSARCHAN,"650.509.1876",2004-01-27 00:00:00.000,SH_CLERK,4200,,121,50
185,Alexis,Bull,ABULL,"650.509.2876",2005-02-20 00:00:00.000,SH_CLERK,4100,,121,50
186,Julia,Dellinger,JDELLING,"650.509.3876",2006-06-24 00:00:00.000,SH_CLERK,3400,,121,50
187,Anthony,Cabrio,ACABRIO,"650.509.4876",2007-02-07 00:00:00.000,SH_CLERK,3000,,121,50
188,Kelly,Chung,KCHUNG,"650.505.1876",2005-06-14 00:00:00.000,SH_CLERK,3800,,122,50
189,Jennifer,Dilly,JDILLY,"650.505.2876",2005-08-13 00:00:00.000,SH_CLERK,3600,,122,50
190,Timothy,Gates,TGATES,"650.505.3876",2006-07-11 00:00:00.000,SH_CLERK,2900,,122,50
191,Randall,Perkins,RPERKINS,"650.505.4876",2007-12-19 00:00:00.000,SH_CLERK,2500,,122,50
192,Sarah,Bell,SBELL,"650.501.1876",2004-02-04 00:00:00.000,SH_CLERK,4000,,123,50
193,Britney,Everett,BEVERETT,"650.501.2876",2005-03-03 00:00:00.000,SH_CLERK,3900,,123,50
194,Samuel,McCain,SMCCAIN,"650.501.3876",2006-07-01 00:00:00.000,SH_CLERK,3200,,123,50
195,Vance,Jones,VJONES,"650.501.4876",2007-03-17 00:00:00.000,SH_CLERK,2800,,123,50
196,Alana,Walsh,AWALSH,"650.507.9811",2006-04-24 00:00:00.000,SH_CLERK,3100,,124,50
197,Kevin,Feeney,KFEENEY,"650.507.9822",2006-05-23 00:00:00.000,SH_CLERK,3000,,124,50
198,Donald,OConnell,DOCONNEL,"650.507.9833",2007-06-21 00:00:00.000,SH_CLERK,2600,,124,50
199,Douglas,Grant,DGRANT,"650.507.9844",2008-01-13 00:00:00.000,SH_CLERK,2600,,124,50
200,Jennifer,Whalen,JWHALEN,"515.123.4444",2003-09-17 00:00:00.000,AD_ASST,4400,,101,10
201,Michael,Hartstein,MHARTSTE,"515.123.5555",2004-02-17 00:00:00.000,MK_MAN,13000,,100,20
202,Pat,Fay,PFAY,"603.123.6666",2005-08-17 00:00:00.000,MK_REP,6000,,201,20
203,Susan,Mavris,SMAVRIS,"515.123.7777",2002-06-07 00:00:00.000,HR_REP,6500,,101,40
204,Hermann,Baer,HBAER,"515.123.8888",2002-06-07 00:00:00.000,PR_REP,10000,,101,70
205,Shelley,Higgins,SHIGGINS,"515.123.8080",2002-06-07 00:00:00.000,AC_MGR,12008,,101,110
206,William,Gietz,WGIETZ,"515.123.8181",2002-06-07 00:00:00.000,AC_ACCOUNT,8300,,205,110
